date,skill,interest,type
2023-01-01,python,46.0,skill
2023-01-08,python,57.0,skill
2023-01-15,python,59.0,skill
2023-01-22,python,67.0,skill
2023-01-29,python,71.0,skill
2023-02-05,python,72.0,skill
2023-02-12,python,71.0,skill
2023-02-19,python,70.0,skill
2023-02-26,python,71.0,skill
2023-03-05,python,68.0,skill
2023-03-12,python,65.0,skill
2023-03-19,python,65.0,skill
2023-03-26,python,64.0,skill
2023-04-02,python,62.0,skill
2023-04-09,python,63.0,skill
2023-04-16,python,64.0,skill
2023-04-23,python,62.0,skill
2023-04-30,python,60.0,skill
2023-05-07,python,57.0,skill
2023-05-14,python,54.0,skill
2023-05-21,python,55.0,skill
2023-05-28,python,50.0,skill
2023-06-04,python,54.0,skill
2023-06-11,python,55.0,skill
2023-06-18,python,53.0,skill
2023-06-25,python,56.0,skill
2023-07-02,python,47.0,skill
2023-07-09,python,62.0,skill
2023-07-16,python,58.0,skill
2023-07-23,python,58.0,skill
2023-07-30,python,54.0,skill
2023-08-06,python,54.0,skill
2023-08-13,python,53.0,skill
2023-08-20,python,57.0,skill
2023-08-27,python,63.0,skill
2023-09-03,python,58.0,skill
2023-09-10,python,65.0,skill
2023-09-17,python,68.0,skill
2023-09-24,python,61.0,skill
2023-10-01,python,64.0,skill
2023-10-08,python,63.0,skill
2023-10-15,python,65.0,skill
2023-10-22,python,64.0,skill
2023-10-29,python,61.0,skill
2023-11-05,python,59.0,skill
2023-11-12,python,61.0,skill
2023-11-19,python,45.0,skill
2023-11-26,python,58.0,skill
2023-12-03,python,60.0,skill
2023-12-10,python,54.0,skill
2023-12-17,python,46.0,skill
2023-12-24,python,35.0,skill
2023-12-31,python,42.0,skill
2024-01-07,python,51.0,skill
2024-01-14,python,51.0,skill
2024-01-21,python,62.0,skill
2024-01-28,python,64.0,skill
2024-02-04,python,66.0,skill
2024-02-11,python,69.0,skill
2024-02-18,python,67.0,skill
2024-02-25,python,63.0,skill
2024-03-03,python,59.0,skill
2024-03-10,python,61.0,skill
2024-03-17,python,61.0,skill
2024-03-24,python,57.0,skill
2024-03-31,python,61.0,skill
2024-04-07,python,56.0,skill
2024-04-14,python,62.0,skill
2024-04-21,python,60.0,skill
2024-04-28,python,56.0,skill
2024-05-05,python,52.0,skill
2024-05-12,python,50.0,skill
2024-05-19,python,54.0,skill
2024-05-26,python,50.0,skill
2023-01-01,communication,12.999999999999998,skill
2023-01-08,communication,18.0,skill
2023-01-15,communication,20.0,skill
2023-01-22,communication,22.0,skill
2023-01-29,communication,22.0,skill
2023-02-05,communication,22.0,skill
2023-02-12,communication,21.0,skill
2023-02-19,communication,20.0,skill
2023-02-26,communication,21.0,skill
2023-03-05,communication,20.0,skill
