date,software engineer jobs,data scientist jobs,data analyst jobs,product manager jobs,machine learning engineer jobs,devops engineer jobs,cybersecurity jobs,cloud engineer jobs,ux designer jobs,project manager jobs
2023-01-01,65,21.0,72.0,21.0,2.0,3.25,37.375,7.3125,8.9375,64.16666666666667
2023-01-08,70,24.0,75.0,31.0,3.0,6.511627906976744,40.697674418604656,5.6976744186046515,14.651162790697676,73.33333333333334
2023-01-15,74,23.0,81.0,22.0,3.0,3.252747252747253,39.032967032967036,6.505494505494506,12.197802197802197,64.85393258426967
2023-01-22,71,23.0,77.00000000000001,27.999999999999996,3.0,4.953488372093023,47.883720930232556,12.383720930232558,14.034883720930232,73.53571428571429
2023-01-29,71,23.0,80.0,27.0,4.0,5.712643678160919,41.62068965517241,11.425287356321839,13.873563218390805,72.69047619047619
2023-02-05,66,22.0,68.0,26.0,2.0,6.518518518518518,38.2962962962963,8.148148148148147,13.037037037037036,62.65822784810126
2023-02-12,60,22.0,66.0,25.0,3.0,4.054054054054054,34.86486486486486,5.675675675675676,12.162162162162163,66.66666666666667
2023-02-19,64,22.0,67.0,25.0,3.0,4.102564102564102,37.743589743589745,7.384615384615385,9.846153846153847,70.73684210526316
2023-02-26,64,19.0,75.0,25.0,3.0,5.743589743589744,36.92307692307692,8.205128205128204,11.487179487179487,74.10526315789474
2023-03-05,70,20.0,72.0,28.0,3.0,4.069767441860465,36.627906976744185,6.511627906976744,11.395348837209303,68.33333333333333
2023-03-12,64,15.0,90.0,24.0,5.0,4.860759493670886,33.21518987341772,6.481012658227848,10.531645569620252,70.64935064935065
2023-03-19,67,24.0,90.0,26.0,4.0,4.085365853658536,39.21951219512195,6.536585365853659,10.621951219512196,64.4875
2023-03-26,64,22.0,81.0,28.0,2.0,4.923076923076923,38.56410256410256,6.564102564102564,13.128205128205128,64.0
2023-04-02,60,23.0,76.0,26.0,4.0,4.931506849315069,37.80821917808219,4.931506849315069,10.684931506849315,69.16666666666666
