date,skill,interest,type
2023-01-01,software engineer jobs,65.0,job_title
2023-01-08,software engineer jobs,70.0,job_title
2023-01-15,software engineer jobs,74.0,job_title
2023-01-22,software engineer jobs,71.0,job_title
2023-01-29,software engineer jobs,71.0,job_title
2023-02-05,software engineer jobs,66.0,job_title
2023-02-12,software engineer jobs,60.0,job_title
2023-02-19,software engineer jobs,64.0,job_title
2023-02-26,software engineer jobs,64.0,job_title
2023-03-05,software engineer jobs,70.0,job_title
2023-03-12,software engineer jobs,64.0,job_title
2023-03-19,software engineer jobs,67.0,job_title
2023-03-26,software engineer jobs,64.0,job_title
2023-04-02,software engineer jobs,60.0,job_title
2023-04-09,software engineer jobs,63.0,job_title
2023-04-16,software engineer jobs,61.0,job_title
2023-04-23,software engineer jobs,62.0,job_title
2023-04-30,software engineer jobs,66.0,job_title
2023-05-07,software engineer jobs,65.0,job_title
2023-05-14,software engineer jobs,66.0,job_title
2023-05-21,software engineer jobs,67.0,job_title
2023-05-28,software engineer jobs,64.0,job_title
2023-06-04,software engineer jobs,63.0,job_title
2023-06-11,software engineer jobs,63.0,job_title
2023-06-18,software engineer jobs,60.0,job_title
2023-06-25,software engineer jobs,69.0,job_title
2023-07-02,software engineer jobs,67.0,job_title
2023-07-09,software engineer jobs,75.0,job_title
2023-07-16,software engineer jobs,66.0,job_title
2023-07-23,software engineer jobs,73.0,job_title
2023-07-30,software engineer jobs,70.0,job_title
2023-08-06,software engineer jobs,73.0,job_title
2023-08-13,software engineer jobs,76.0,job_title
2023-08-20,software engineer jobs,71.0,job_title
2023-08-27,software engineer jobs,72.0,job_title
2023-09-03,software engineer jobs,75.0,job_title
2023-09-10,software engineer jobs,76.0,job_title
2023-09-17,software engineer jobs,76.0,job_title
2023-09-24,software engineer jobs,65.0,job_title
2023-10-01,software engineer jobs,72.0,job_title
2023-10-08,software engineer jobs,69.0,job_title
2023-10-15,software engineer jobs,71.0,job_title
2023-10-22,software engineer jobs,67.0,job_title
2023-10-29,software engineer jobs,69.0,job_title
2023-11-05,software engineer jobs,65.0,job_title
2023-11-12,software engineer jobs,65.0,job_title
2023-11-19,software engineer jobs,56.0,job_title
2023-11-26,software engineer jobs,68.0,job_title
2023-12-03,software engineer jobs,64.0,job_title
2023-12-10,software engineer jobs,63.0,job_title
2023-12-17,software engineer jobs,57.0,job_title
2023-12-24,software engineer jobs,49.0,job_title
2023-12-31,software engineer jobs,70.0,job_title
2024-01-07,software engineer jobs,78.0,job_title
2024-01-14,software engineer jobs,78.0,job_title
2024-01-21,software engineer jobs,80.0,job_title
2024-01-28,software engineer jobs,79.0,job_title
2024-02-04,software engineer jobs,82.0,job_title
2024-02-11,software engineer jobs,72.0,job_title
2024-02-18,software engineer jobs,79.0,job_title
2024-02-25,software engineer jobs,80.0,job_title
2024-03-03,software engineer jobs,76.0,job_title
2024-03-10,software engineer jobs,70.0,job_title
2024-03-17,software engineer jobs,75.0,job_title
2024-03-24,software engineer jobs,65.0,job_title
2024-03-31,software engineer jobs,67.0,job_title
2024-04-07,software engineer jobs,74.0,job_title
